param_randomforestclassifier__max_depth,param_randomforestclassifier__n_estimators,mean_test_score,std_test_score,rank_test_score
17,173,0.8220093284963351,0.013189728931323615,1
17,156,0.8218170208040275,0.012444716079531931,2
15,115,0.8208538165395721,0.010669641001872964,3
19,121,0.8204706818686608,0.010450043378512956,4
16,89,0.8196999703857261,0.012198525484454456,5
